trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,-67,-478.7372056310644,"{0: 64, 1: 6, 2: 21, 3: 5, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.95}",35,-100,-500.13565321808176,"{0: 94, 1: 7, 2: 21, 3: 6, 4: 7}",0
3,False,"{'a': 0.5, 'e': 0.9}",20,-100,-459.1210658056669,"{0: 84, 1: 8, 2: 17, 3: 3, 4: 8}",0
4,False,"{'a': 0.5, 'e': 0.85}",30,-100,-441.78979040588314,"{0: 96, 1: 3, 2: 19, 3: 5, 4: 7}",0
5,False,"{'a': 0.5, 'e': 0.8}",30,-46,-337.2980750434852,"{0: 53, 1: 7, 2: 6, 3: 4, 4: 6}",0
6,False,"{'a': 0.5, 'e': 0.75}",20,-13,-151.255087140425,"{0: 20, 1: 3, 2: 5, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.7}",20,-60,-254.20997445693408,"{0: 56, 1: 5, 2: 13, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",25,-54,-293.28767146335014,"{0: 58, 1: 2, 2: 11, 3: 3, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.6}",20,1,-20.67446410515687,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.55}",20,-22,-134.52837607030162,"{0: 29, 1: 4, 2: 4, 3: 4, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5}",20,11,12.12870188927313,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",25,-24,-119.80299957722815,"{0: 40, 1: 2, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",25,8,-50.76820719751439,"{0: 13, 1: 0, 2: 1, 3: 3, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.35}",20,9,-14.68615024113091,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",20,-6,-15.3509129051518,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.25}",25,-100,-62.48196121126754,"{0: 108, 1: 5, 2: 8, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",20,13,-40.942797206876435,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",25,12,-23.98738553812298,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",20,13,12.27060459599883,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",20,-4,0.35672246924099826,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,1,31.61550416817497,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,11,25.78557773941846,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,16,12.730095707542677,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,-2,-3.735599942625107,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,15,8.905726386901414,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,17,13.019863868156031,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,1,49.004431352713794,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,13,15.05846194577375,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,1,-22.781531494548254,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,13,-7.051056175648181,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
