trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.57500265964376,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999922206890987}",20,0,-21.750622567948188,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9999688828774299}",20,0,-196.1860010747969,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9999299869280981}",30,0,-244.41603412040837,"{0: 15, 1: 5, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9998755334462704}",20,0,-172.52383008863006,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.999805523279168}",20,0,-41.85907721490481,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9997199575160528}",30,16,-29.28956158279941,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9996188374882099}",25,0,-221.436915348618,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9995021647689276}",25,0,-82.47700023917652,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9993699411734727}",20,0,-34.28892658938228,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9992221687590621}",20,0,-63.84843858972157,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.999058849824831}",20,0,-106.54188273802875,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9988799869117967}",25,0,-294.0849475418955,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 5}",0
14,False,"{'a': 0.5, 'e': 0.9986855828028197}",35,14,-120.64163997079486,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.9984756405225602}",25,0,-61.55055669949902,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
