trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-50,-209.47177604088074,"{0: 49, 1: 5, 2: 12, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,-100,-661.9790162240483,"{0: 78, 1: 7, 2: 27, 3: 3, 4: 10}",0
3,False,"{'a': 0.5, 'e': 0.9}",25,-100,-558.3102038166835,"{0: 75, 1: 12, 2: 27, 3: 5, 4: 6}",0
4,False,"{'a': 0.5, 'e': 0.85}",25,-17,-246.9477487314493,"{0: 22, 1: 4, 2: 12, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.8}",20,-54,-222.28295041622198,"{0: 54, 1: 8, 2: 6, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.75}",25,-100,-328.659530702929,"{0: 88, 1: 10, 2: 20, 3: 3, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.7}",35,-100,-895.9344028205121,"{0: 73, 1: 10, 2: 33, 3: 7, 4: 12}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999999}",20,-20,-122.87540982982686,"{0: 23, 1: 3, 2: 14, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.6}",20,-44,-220.74712515298847,"{0: 41, 1: 6, 2: 13, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.55}",20,-100,-637.8820940329788,"{0: 72, 1: 9, 2: 25, 3: 5, 4: 9}",0
11,False,"{'a': 0.5, 'e': 0.5}",25,-71,-637.7136125035763,"{0: 51, 1: 14, 2: 16, 3: 6, 4: 9}",0
12,False,"{'a': 0.5, 'e': 0.44999999999999996}",25,-100,-661.6447772396425,"{0: 70, 1: 15, 2: 26, 3: 7, 4: 7}",0
13,False,"{'a': 0.5, 'e': 0.3999999999999999}",20,-100,-639.0907125709682,"{0: 69, 1: 12, 2: 25, 3: 6, 4: 8}",0
14,False,"{'a': 0.5, 'e': 0.35}",30,-12,-101.86847748245336,"{0: 28, 1: 2, 2: 10, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999993}",25,-63,-420.65183769213894,"{0: 51, 1: 10, 2: 17, 3: 6, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.25}",30,-100,-774.3309679429045,"{0: 73, 1: 14, 2: 25, 3: 9, 4: 9}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999996}",20,-78,-417.91453459898963,"{0: 56, 1: 9, 2: 25, 3: 5, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999999}",20,-100,-662.1383831181446,"{0: 62, 1: 14, 2: 34, 3: 3, 4: 7}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999998}",25,-2,-166.45251312973602,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.04999999999999993}",25,-31,-225.58691842730923,"{0: 38, 1: 1, 2: 12, 3: 2, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,-45,-374.83714639348386,"{0: 38, 1: 8, 2: 12, 3: 1, 4: 6}",0
2,True,"{'a': 0, 'e': 0}",30,-100,-603.6592456997186,"{0: 81, 1: 11, 2: 28, 3: 1, 4: 9}",0
3,True,"{'a': 0, 'e': 0}",20,-100,-572.7075549707173,"{0: 70, 1: 17, 2: 23, 3: 2, 4: 8}",0
4,True,"{'a': 0, 'e': 0}",25,-7,-191.11267379283962,"{0: 19, 1: 1, 2: 6, 3: 4, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,-14,-239.57352089779152,"{0: 23, 1: 6, 2: 4, 3: 2, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",20,-100,-870.855567703758,"{0: 70, 1: 7, 2: 24, 3: 3, 4: 16}",0
7,True,"{'a': 0, 'e': 0}",20,-40,-310.41647243598146,"{0: 37, 1: 3, 2: 9, 3: 9, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,-24,-170.61150022872792,"{0: 34, 1: 1, 2: 4, 3: 1, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",20,-100,-609.4919957475157,"{0: 75, 1: 11, 2: 20, 3: 5, 4: 9}",0
10,True,"{'a': 0, 'e': 0}",20,-100,-338.4520775928035,"{0: 79, 1: 14, 2: 19, 3: 6, 4: 2}",0
